filename,text
.\data\Client8\clips\common_voice_en_42751897.mp3,"In this sentence, the correct verb is ""differentiate""."
.\data\Client8\clips\common_voice_en_42751898.mp3,A trench was immediately dug between the two twins to sever their connecting roots.
.\data\Client8\clips\common_voice_en_42751899.mp3,"She was known for her ""compassion and pity"" for the poor."
.\data\Client8\clips\common_voice_en_42751910.mp3,It has its head office in Clive House.
.\data\Client8\clips\common_voice_en_42751911.mp3,"The way we dress often reflects our personality, culture, and mood."
.\data\Client8\clips\common_voice_en_42751912.mp3,Daniel Srb defeated two other candidates to become the new president of the party.
.\data\Client8\clips\common_voice_en_42751913.mp3,The third Duke of Grafton was briefly Prime Minister.
.\data\Client8\clips\common_voice_en_42751914.mp3,To the south is the large campus of the Getty Center.
.\data\Client8\clips\common_voice_en_42751920.mp3,Tear gas bombs were thrown at any groups that gathered together.
.\data\Client8\clips\common_voice_en_42751921.mp3,The mountain is also surrounded by a nature reserve.
.\data\Client8\clips\common_voice_en_42751922.mp3,The first edition was pressed on red vinyl; subsequent pressings were on black.
.\data\Client8\clips\common_voice_en_42751923.mp3,"After this, Macedonia was formally reduced to a Roman province."
.\data\Client8\clips\common_voice_en_42751924.mp3,The agreement also paved the way for diplomatic recognition of Bangladesh by Pakistan.
.\data\Client8\clips\common_voice_en_42751940.mp3,Grantville struggles to survive while trying to maintain technology sundered from twenty-first century resources.
.\data\Client8\clips\common_voice_en_42752089.mp3,"The main streets running through the community are Stagelands, Martyrs Avenue and Langley Drive."
.\data\Client8\clips\common_voice_en_42752090.mp3,"He speaks, like he sings, with sincerity and depth."
.\data\Client8\clips\common_voice_en_42752091.mp3,"These four ""chedis"" are dedicated to the first four Chakri kings."
.\data\Client8\clips\common_voice_en_42752094.mp3,Airmail into Israel was no longer permitted.
.\data\Client8\clips\common_voice_en_42752097.mp3,"A stone turtle once spewed the water, but this feature does not remain today."
.\data\Client8\clips\common_voice_en_42752134.mp3,It is a subsidiary of ComfortDelGro.
.\data\Client8\clips\common_voice_en_42752136.mp3,"One of my favorite songs is ""Bohemian Rhapsody"" by Queen."
.\data\Client8\clips\common_voice_en_42752137.mp3,Tetford lies to the north-east and Somersby to the south.
.\data\Client8\clips\common_voice_en_42752138.mp3,"The two most significant structures, the church and the cloister, both survive."
.\data\Client8\clips\common_voice_en_42752139.mp3,They are most often associated with fractures of the anterior cranial fossa.
.\data\Client8\clips\common_voice_en_42752140.mp3,"The band performed the song live on ""Countdown""."
.\data\Client8\clips\common_voice_en_42752141.mp3,Penn-Harris-Madison School Corporation serves most of Granger.
.\data\Client8\clips\common_voice_en_42752142.mp3,"This was the first album featuring their new singer, Rob Vitacca."
.\data\Client8\clips\common_voice_en_42752143.mp3,"To retain his position as Minister of Defence, Gessler left the party."
.\data\Client8\clips\common_voice_en_42752257.mp3,"It is derived from the French term ""grand merci"", meaning ""big thanks""."
.\data\Client8\clips\common_voice_en_42752258.mp3,"These murders became known as the ""Greensboro Massacre""."
.\data\Client8\clips\common_voice_en_42752259.mp3,At five she was still awake.
.\data\Client8\clips\common_voice_en_42752260.mp3,The City of Charleston is served by the East Tallahatchie School District.
.\data\Client8\clips\common_voice_en_42752261.mp3,It is possible to tour the fort.
.\data\Client8\clips\common_voice_en_42752287.mp3,"The main terminal also underwent some external changes, especially on the outer facade."
.\data\Client8\clips\common_voice_en_42752288.mp3,There are two Govt.
.\data\Client8\clips\common_voice_en_42752289.mp3,"Shortly afterwards, he opted to join Monaco."
.\data\Client8\clips\common_voice_en_42752290.mp3,The Audi was set alight before the killers fled.
.\data\Client8\clips\common_voice_en_42752291.mp3,The ship has two of these systems abeam to starboard and to port.
.\data\Client8\clips\common_voice_en_42752312.mp3,"During a period of forced exile, much of Lorenzo's property and possessions were destroyed."
.\data\Client8\clips\common_voice_en_42752313.mp3,People will often volunteer to get dunked fully clothed for a humorous effect.
.\data\Client8\clips\common_voice_en_42752314.mp3,"As for Kelly's death, she had not attacked Duquette as he had claimed."
.\data\Client8\clips\common_voice_en_42752315.mp3,It was also among her final albums to reach the country albums chart.
.\data\Client8\clips\common_voice_en_42752316.mp3,He became an anchorite before being elected abbot of Bath Abbey.
.\data\Client8\clips\common_voice_en_42752412.mp3,Eleanor was imprisoned at Corfe Castle.
.\data\Client8\clips\common_voice_en_42752413.mp3,"Contrary to Porsche, Ferrari did not organise an intramural competition."
.\data\Client8\clips\common_voice_en_42752414.mp3,One Distinguished Flying Cross was awarded.
.\data\Client8\clips\common_voice_en_42752415.mp3,She was one of their delegates to the important Glasgow Trades Council.
.\data\Client8\clips\common_voice_en_42752416.mp3,The flowers have two stamens and a bell-shaped calyx.
.\data\Client8\clips\common_voice_en_42752417.mp3,His younger brother Henry hurriedly succeeded him as king.
.\data\Client8\clips\common_voice_en_42752418.mp3,"Pitrelli played on most of the Danger Danger compilation album ""Rare Cuts""."
.\data\Client8\clips\common_voice_en_42752419.mp3,The Beighton criteria are widely used to assess the degree of joint hypermobility.
.\data\Client8\clips\common_voice_en_42752420.mp3,It receives the Raccoon River from the west in the city of Des Moines.
.\data\Client8\clips\common_voice_en_42752421.mp3,"Former members include guitarist and founding member Danny ""Roadkill"" Thompson, alias ""Doctor Roadkill""."
.\data\Client8\clips\common_voice_en_42752422.mp3,It is shrub that grows to up to two metres in height.
.\data\Client8\clips\common_voice_en_42752423.mp3,Sophie agrees and since then their mutual affinity begins developing.
.\data\Client8\clips\common_voice_en_42752424.mp3,The internal machinery of the Republic was under the consuls' superintendence.
.\data\Client8\clips\common_voice_en_42752425.mp3,"His costume consisted of a red striped shirt, white pants, and a sailor's hat."
.\data\Client8\clips\common_voice_en_42752426.mp3,"He was later a team director, having under him racers such as Gino Bartali."
.\data\Client8\clips\common_voice_en_42752427.mp3,The result was a fully virtualized environment.
.\data\Client8\clips\common_voice_en_42752428.mp3,"However the network was later revived by Francis Suttill, organiser of Prosper."
.\data\Client8\clips\common_voice_en_42752819.mp3,P J Crook's paintings are featured on the covers of many King Crimson albums.
.\data\Client8\clips\common_voice_en_42752821.mp3,It was the first or close to the first official release of each band.
.\data\Client8\clips\common_voice_en_42752824.mp3,This is deposited as holotype in the collection of the Hong Kong Entomological Society.
.\data\Client8\clips\common_voice_en_42752825.mp3,Tonight he will be winnowing barley on the threshing floor.
.\data\Client8\clips\common_voice_en_42752826.mp3,Brouthers is still among the all-time leaders in many offensive categories.
.\data\Client8\clips\common_voice_en_42753166.mp3,The next day they follow Dodd's retreat and catch up to the Maratha army.
.\data\Client8\clips\common_voice_en_42753167.mp3,York Minster serves as the mother church of the Province of York.
.\data\Client8\clips\common_voice_en_42753168.mp3,It seems to be strictly terrestrial.
.\data\Client8\clips\common_voice_en_42753169.mp3,"Umstead is buried in the Mount Tabor Church Cemetery in Durham, North Carolina."
.\data\Client8\clips\common_voice_en_42753170.mp3,Black workers were told to wash before they interacted with guests.
.\data\Client8\clips\common_voice_en_42753756.mp3,"The novel's working title was ""A Better Way to Die""."
.\data\Client8\clips\common_voice_en_42753757.mp3,This is the helicity representation.
.\data\Client8\clips\common_voice_en_42753758.mp3,Mick remains unmade.
.\data\Client8\clips\common_voice_en_42753759.mp3,"The televised competition is held every two years, with some countries holding national heats."
.\data\Client8\clips\common_voice_en_42753760.mp3,"Pentaceratops, like all ceratopsians, was an herbivore."
.\data\Client8\clips\common_voice_en_42753811.mp3,He lifted the lid from the dixie again and sniffed.
.\data\Client8\clips\common_voice_en_42753812.mp3,That player was minor league righty Chris Province.
.\data\Client8\clips\common_voice_en_42753813.mp3,Bus departures in the West Midlands
.\data\Client8\clips\common_voice_en_42753814.mp3,He remains the only Archbishop of Canterbury ever to kill a man.
.\data\Client8\clips\common_voice_en_42753815.mp3,Sometimes come across isolated dome-shaped hills.
.\data\Client8\clips\common_voice_en_42753831.mp3,The round-up is perhaps the lamest part of the story.
.\data\Client8\clips\common_voice_en_42753832.mp3,The English general was killed and his troops were routed with heavy losses.
.\data\Client8\clips\common_voice_en_42753833.mp3,"Simpson's performances earned him a trial with Rangers, but they did not sign him."
.\data\Client8\clips\common_voice_en_42753834.mp3,"Prior to screenwriting, Boyens worked in theater as a playwright, teacher, producer and editor."
.\data\Client8\clips\common_voice_en_42753991.mp3,She stops herself from expressing her discomfort.
.\data\Client8\clips\common_voice_en_42753992.mp3,The Moeraki Boulders are located two kilometres south of Hampden.
.\data\Client8\clips\common_voice_en_42753993.mp3,I couldn't imagine doing it for anybody else.
.\data\Client8\clips\common_voice_en_42753994.mp3,The private driveway leads to a large garage for convenient parking.
.\data\Client8\clips\common_voice_en_42753995.mp3,Many ancient Greek works of science and philosophy were not available in Latin translation.
.\data\Client8\clips\common_voice_en_42754172.mp3,The flag is at the apex of Nij temple.
.\data\Client8\clips\common_voice_en_42754173.mp3,There are various tourist attractions in Aurangabad.
.\data\Client8\clips\common_voice_en_42754174.mp3,"He later worked at Beacon Press, a publisher based in Boston, Massachusetts."
.\data\Client8\clips\common_voice_en_42754175.mp3,Many of the descendants of these refugees are in the region.
.\data\Client8\clips\common_voice_en_42754176.mp3,"Gregg, now in his eighties, lives in Coleraine, Northern Ireland."
.\data\Client8\clips\common_voice_en_42754703.mp3,Trym is most recently dabbling in filmmaking as a producer and actor.
.\data\Client8\clips\common_voice_en_42754704.mp3,She is best known for being one of the kidnappers of heiress Patricia Hearst.
.\data\Client8\clips\common_voice_en_42754705.mp3,"A variety of neurological symptoms, such as epilepsy and myoclonic seizures, appear."
.\data\Client8\clips\common_voice_en_42754706.mp3,The town is extensive in its climate and biodiversity.
.\data\Client8\clips\common_voice_en_42754707.mp3,"He complained that the ""team spirit"" had gone."
.\data\Client8\clips\common_voice_en_42754748.mp3,The aircraft was expected to manage having delivered of bombs.
.\data\Client8\clips\common_voice_en_42754749.mp3,"They received full rotation on their song ""La Luh""."
.\data\Client8\clips\common_voice_en_42754750.mp3,Their aging aunt Teresa finally recognizes the figure in the photo.
.\data\Client8\clips\common_voice_en_42754751.mp3,Cretan civilians joined the battle with whatever weapons were at hand.
.\data\Client8\clips\common_voice_en_42754752.mp3,At the same press conference Busted announced their third studio album.
.\data\Client8\clips\common_voice_en_42755065.mp3,The rules and gameplay are based on Palladium's Megaversal system.
.\data\Client8\clips\common_voice_en_42755066.mp3,His amplifier was a Fender Twin Reverb.
.\data\Client8\clips\common_voice_en_42755067.mp3,"After having been discussed by the whole population, the law was adopted."
.\data\Client8\clips\common_voice_en_42755068.mp3,She is thus called Countess of Devon in several records.
.\data\Client8\clips\common_voice_en_42755069.mp3,It is also close to Perth bus station.
.\data\Client8\clips\common_voice_en_42755400.mp3,"Furthermore, the holders of the mortgage debt will also have a loss."
.\data\Client8\clips\common_voice_en_42755401.mp3,Why didn't you tell me we had company?
.\data\Client8\clips\common_voice_en_42755402.mp3,"It shares its runways with the Blenheim civil airport, Woodbourne Airport."
.\data\Client8\clips\common_voice_en_42755403.mp3,He worked in the church of Agia Paraskevi at Markopoulo.
.\data\Client8\clips\common_voice_en_42755404.mp3,Burger King responded on Twitter by advertising its milkshakes in Scotland.
.\data\Client8\clips\common_voice_en_42755756.mp3,"At his request his grave marker bears a quote from Shelley's poem ""Epitaph""."
.\data\Client8\clips\common_voice_en_42755757.mp3,"As the band matured, the jazz influences became less obvious."
.\data\Client8\clips\common_voice_en_42755758.mp3,He entered professional acting in his early teenage years using the name 'Joey' Cramer.
.\data\Client8\clips\common_voice_en_42755759.mp3,"It lies on the southeast edge of the Lacus Bonitatis, a small lunar mare."
.\data\Client8\clips\common_voice_en_42755760.mp3,Colonel Wendell Fertig.
.\data\Client8\clips\common_voice_en_42755785.mp3,Closing the sale is the final step in the sales management process.
.\data\Client8\clips\common_voice_en_42755786.mp3,I ate three pieces of pizza tonight.
.\data\Client8\clips\common_voice_en_42755787.mp3,I wonder if I'll live long enough to witness the apocalypse.
.\data\Client8\clips\common_voice_en_42755788.mp3,She attended the Canadian College of Performing Arts.
.\data\Client8\clips\common_voice_en_42755789.mp3,It was from this castle that the family took their name.
.\data\Client8\clips\common_voice_en_42755877.mp3,It is set in London at the time of the Great Exhibition.
.\data\Client8\clips\common_voice_en_42755878.mp3,To the south is New Cathedral Street and the Royal Exchange.
.\data\Client8\clips\common_voice_en_42755879.mp3,She competed in the butterfly leg of the event.
.\data\Client8\clips\common_voice_en_42755880.mp3,I also enjoy spending time outdoors and being active.
.\data\Client8\clips\common_voice_en_42755881.mp3,The following is a list of the presidential candidates supported by the Citizen Left.
.\data\Client8\clips\common_voice_en_42756034.mp3,The program was carried on public broadcasting stations in the United States.
.\data\Client8\clips\common_voice_en_42756035.mp3,"A secondary-market job is distinct from a ""secondary worker""."
.\data\Client8\clips\common_voice_en_42756036.mp3,It only takes about ten minutes to do this process.
.\data\Client8\clips\common_voice_en_42756037.mp3,Fabric occupied the renovated space of the Metropolitan Cold Stores.
.\data\Client8\clips\common_voice_en_42756038.mp3,A minor branch of the South Seas Communist Party was formed in Burma.
.\data\Client8\clips\common_voice_en_42756103.mp3,"Bowersox was born in Portsmouth, Virginia, but considers Bedford, Indiana his home town."
.\data\Client8\clips\common_voice_en_42756104.mp3,This section is a stub.
.\data\Client8\clips\common_voice_en_42756105.mp3,Since modern processors can operate fast on vectors this increases the speed.
.\data\Client8\clips\common_voice_en_42756106.mp3,A single beta decay then transforms one into the other.
.\data\Client8\clips\common_voice_en_42756107.mp3,Providence Alaska Medical Center is accredited through the Joint Commission of Hospital Accreditation.
.\data\Client8\clips\common_voice_en_42756109.mp3,Jamestown has garnered a reputation as a speed trap for motorists.
.\data\Client8\clips\common_voice_en_42756112.mp3,"He also wrote several cantatas and motets, notably ""De profundis""."
.\data\Client8\clips\common_voice_en_42756114.mp3,"Tait was born in Lively Hall near Liverpool, England."
.\data\Client8\clips\common_voice_en_42756116.mp3,Former Scarlets and Wales full back Matt Cardey was best man at the wedding.
