filename,text
.\data\Client9\clips\common_voice_en_42770714.mp3,"Credits for ""Wu Hen"" adapted from album liner notes."
.\data\Client9\clips\common_voice_en_42770715.mp3,"In religion, the stag is a symbol of moral ideals."
.\data\Client9\clips\common_voice_en_42770716.mp3,This solution is quite unique among film festivals worldwide.
.\data\Client9\clips\common_voice_en_42770717.mp3,He administered the diocese following the retirement of Bishop John Parkes.
.\data\Client9\clips\common_voice_en_42770718.mp3,The pumpagubbe celebrates the bounty of the Fall Harvest.
.\data\Client9\clips\common_voice_en_42770719.mp3,Old Bay Seasoning is available at every Boardwalk Burgers and Fries restaurant.
.\data\Client9\clips\common_voice_en_42770720.mp3,Milou's mother dies just as the unrest and strikes are sweeping the country.
.\data\Client9\clips\common_voice_en_42770721.mp3,"However, he was unable to get wider support for this cause."
.\data\Client9\clips\common_voice_en_42770722.mp3,"Born in Straubing, West Germany, Wenzel moved to Liechtenstein at an early age."
.\data\Client9\clips\common_voice_en_42770723.mp3,After these steps the plate needed rinsing in fresh water.
.\data\Client9\clips\common_voice_en_42770724.mp3,Each Senator has at least one standing committee assignment.
.\data\Client9\clips\common_voice_en_42770725.mp3,William the Lion's attacks in the north of England were also a failure.
.\data\Client9\clips\common_voice_en_42770726.mp3,A garnish makes food or drink items more visually appealing.
.\data\Client9\clips\common_voice_en_42770727.mp3,"It is headquartered in Alameda, California, co-located with its corporate sibling, JanSport."
.\data\Client9\clips\common_voice_en_42770728.mp3,Brazil has the largest concentration of Japanese and people of Japanese descent outside Japan.
.\data\Client9\clips\common_voice_en_42770729.mp3,The three group winners and best second-placed team advance to the semifinals.
.\data\Client9\clips\common_voice_en_42770730.mp3,The north end has a new training facility and locker rooms added.
.\data\Client9\clips\common_voice_en_42770731.mp3,Three girls and one boy were competing against one girl and three boys.
.\data\Client9\clips\common_voice_en_42770745.mp3,There is also much on the debate over nuclear issues.
.\data\Client9\clips\common_voice_en_42770746.mp3,"There is an infinite sequence of predicative universes that ""are cumulative""."
.\data\Client9\clips\common_voice_en_42770747.mp3,"The name Duamutef means ""He who adores his mother""."
.\data\Client9\clips\common_voice_en_42770748.mp3,It also offers self-financed courses.
.\data\Client9\clips\common_voice_en_42770749.mp3,The covering dimension of the disk is thus two.
.\data\Client9\clips\common_voice_en_42770750.mp3,Head coach Bill Whitton led the team for his first year.
.\data\Client9\clips\common_voice_en_42770751.mp3,Certain cement types are more resistant to chlorides than others.
.\data\Client9\clips\common_voice_en_42770752.mp3,He served as Consul General several times.
.\data\Client9\clips\common_voice_en_42770753.mp3,"Today, both names remain is use, each covering different areas of the community."
.\data\Client9\clips\common_voice_en_42770754.mp3,The team name was created by Chuck Parente of Duryea.
.\data\Client9\clips\common_voice_en_42770760.mp3,Elk hunting and fishing are also very popular pastimes in the area.
.\data\Client9\clips\common_voice_en_42770761.mp3,Founding chairman is Berhanu Nega.
.\data\Client9\clips\common_voice_en_42770762.mp3,Recent presentations have included The Secret Jews of Brazil.
.\data\Client9\clips\common_voice_en_42770763.mp3,"Before ""Idol"", he was assistant manager of a deli."
.\data\Client9\clips\common_voice_en_42770764.mp3,Clarence Darrow had been the lawyer representing Barmore.
.\data\Client9\clips\common_voice_en_42770770.mp3,Belt Line Road also passes through Mesquite and serves as a major road.
.\data\Client9\clips\common_voice_en_42770771.mp3,It was more than five days before the tunnel cooled sufficiently to start repairs.
.\data\Client9\clips\common_voice_en_42770772.mp3,So I turned back and came to you — you.
.\data\Client9\clips\common_voice_en_42770773.mp3,Sydney also had a few cable tram routes.
.\data\Client9\clips\common_voice_en_42770774.mp3,"The corn snake, one of the most popular pet reptiles, is a rat snake."
.\data\Client9\clips\common_voice_en_42770775.mp3,The current Executive Director is Diane Gutierrez-Scaccetti.
.\data\Client9\clips\common_voice_en_42770776.mp3,"Later in California, Silkski joined Ice-T's rap group Rhyme Syndicate."
.\data\Client9\clips\common_voice_en_42770777.mp3,"For this reason, the king didn't allow the parliament to grant him any titles."
.\data\Client9\clips\common_voice_en_42770778.mp3,Captain Machin headed this effort.
.\data\Client9\clips\common_voice_en_42770779.mp3,Reportedly four of its mechanics were arrested as well.
.\data\Client9\clips\common_voice_en_42770780.mp3,"The organisation is based in London, England."
.\data\Client9\clips\common_voice_en_42770781.mp3,Pertechnetate has a wide variety of uses in diagnostic nuclear medicine.
.\data\Client9\clips\common_voice_en_42770782.mp3,It is managed by a Co-operative Society.
.\data\Client9\clips\common_voice_en_42770788.mp3,"Margarito was born in Torrance, California."
.\data\Client9\clips\common_voice_en_42770789.mp3,"Moreover, it could only be cooled once."
.\data\Client9\clips\common_voice_en_42770790.mp3,This notion may have been suggested to them by the observation of certain animals.
.\data\Client9\clips\common_voice_en_42770791.mp3,"After his military career, Patterson continued his support of Zionism."
.\data\Client9\clips\common_voice_en_42770792.mp3,"Currently she lives in San Antonio, Texas."
.\data\Client9\clips\common_voice_en_42770793.mp3,There are no known health problems that are specific to the Artois Hound.
.\data\Client9\clips\common_voice_en_42770794.mp3,"In Putnam however, the Supreme Court does exercise jurisdiction over some criminal cases."
.\data\Client9\clips\common_voice_en_42770795.mp3,This caused him to become known as The Abominable No Man.
.\data\Client9\clips\common_voice_en_42770796.mp3,Lake Jackson is connected to Little Lake Jackson by a short canal.
.\data\Client9\clips\common_voice_en_42770797.mp3,"Then, the algorithm moves to the right by one byte."
.\data\Client9\clips\common_voice_en_42770798.mp3,It is Old English in origin.
.\data\Client9\clips\common_voice_en_42770799.mp3,"Stuck in orbit, Dangerfield becomes a popular disc jockey."
.\data\Client9\clips\common_voice_en_42770800.mp3,This can be done by pulling back by the smooth map defined by translation.
.\data\Client9\clips\common_voice_en_42770801.mp3,Stout shoes or jogging shoes are recommended for visitors to the plateau.
.\data\Client9\clips\common_voice_en_42770802.mp3,The aqueduct system is part of the South Saskatchewan River Project.
.\data\Client9\clips\common_voice_en_42770803.mp3,"There were other, less organized, forms of smuggling too."
.\data\Client9\clips\common_voice_en_42770804.mp3,"The species has been described as ""poorly understood""."
.\data\Client9\clips\common_voice_en_42770805.mp3,The current mayor is long time resident Jerry Balmer.
.\data\Client9\clips\common_voice_en_42770806.mp3,It is a very old kata originating from China.
.\data\Client9\clips\common_voice_en_42770807.mp3,The main headquarters of Toyota is located in a three story building in Toyota.
