filename,text
.\data\Client6\clips\common_voice_en_42696072.mp3,But then something even more extraordinary happened.
.\data\Client6\clips\common_voice_en_42696165.mp3,The division was then commanded by Major General John Hawkesworth.
.\data\Client6\clips\common_voice_en_42696166.mp3,"Her husband was Li Shi, the last emperor of Cheng Han."
.\data\Client6\clips\common_voice_en_42696167.mp3,"London advances against Ludington, Michigan, champions of the Central League."
.\data\Client6\clips\common_voice_en_42696168.mp3,But his books were never best-sellers.
.\data\Client6\clips\common_voice_en_42696169.mp3,No new team would replace them.
.\data\Client6\clips\common_voice_en_42696402.mp3,"During the early twentieth century, the term sergeant piper was used instead."
.\data\Client6\clips\common_voice_en_42696403.mp3,"Demchinsky, and Yu.A."
.\data\Client6\clips\common_voice_en_42698957.mp3,The album was marked with strong anti-war and pro-anarchism songs.
.\data\Client6\clips\common_voice_en_42698959.mp3,"A date rapist still has to get a ""date""!"
.\data\Client6\clips\common_voice_en_42698961.mp3,"The rectangular shape of the nabedrennik differs from the epigonation, which is lozenge-shaped."
.\data\Client6\clips\common_voice_en_42698963.mp3,"That year, the White Sox won the pennant and their first World Series."
.\data\Client6\clips\common_voice_en_42698965.mp3,He was the first chief justice to be native born.
.\data\Client6\clips\common_voice_en_42698982.mp3,Faversham were runners-up in their first season in the Metropolitan-London League.
.\data\Client6\clips\common_voice_en_42698983.mp3,He was hospitalized with a broken leg.
.\data\Client6\clips\common_voice_en_42698984.mp3,The show aired on Nicktoonsters in the United Kingdom.
.\data\Client6\clips\common_voice_en_42698985.mp3,"Together they are referred to as a ""kelly drive""."
.\data\Client6\clips\common_voice_en_42698986.mp3,The plan envisaged two mounted divisions.
.\data\Client6\clips\common_voice_en_42698997.mp3,Sun Quan received and treated him very respectfully.
.\data\Client6\clips\common_voice_en_42698998.mp3,Both Lipscomb and Harding are Churches of Christ institutions.
.\data\Client6\clips\common_voice_en_42698999.mp3,Fobbing is one of seven conservation areas in Thurrock.
.\data\Client6\clips\common_voice_en_42699000.mp3,It also refers to converting to Hinduism.
.\data\Client6\clips\common_voice_en_42699001.mp3,At least seven people were killed overall in the incident.
.\data\Client6\clips\common_voice_en_42699867.mp3,"Walter also designed mansions, banks, churches, the hotel at Brandywine Springs, and courthouses."
.\data\Client6\clips\common_voice_en_42699868.mp3,All songs written by Carly Simon.
.\data\Client6\clips\common_voice_en_42699870.mp3,It is reputedly haunted.
.\data\Client6\clips\common_voice_en_42699874.mp3,His request was granted and will face Satoshi Kojima at this event.
.\data\Client6\clips\common_voice_en_42699892.mp3,That was characteristic of him all his life.
.\data\Client6\clips\common_voice_en_42699893.mp3,His church brought Clarke into personal contact with Newton.
.\data\Client6\clips\common_voice_en_42699894.mp3,No man was suffered to cross his legs or clasp his hands.
.\data\Client6\clips\common_voice_en_42699910.mp3,"The term ""Angry theatre"" was coined by critic John Russell Taylor."
.\data\Client6\clips\common_voice_en_42699911.mp3,Monoporeia feeds on phytoplankton and decomposed organic matter sinking onto the bottom.
.\data\Client6\clips\common_voice_en_42699912.mp3,"See fanzine, fanspeak."
.\data\Client6\clips\common_voice_en_42699913.mp3,"He wrote several texts on international law, politics, and international relations."
.\data\Client6\clips\common_voice_en_42699914.mp3,"The little cuckoo makes harsh ""chek"" and ""kak"" calls."
.\data\Client6\clips\common_voice_en_42699929.mp3,Both Waratton and Drogo were mayors of the palaces.
.\data\Client6\clips\common_voice_en_42699930.mp3,It is usually played with curved sticks.
.\data\Client6\clips\common_voice_en_42699931.mp3,Many of these shops survive.
.\data\Client6\clips\common_voice_en_42699932.mp3,They are shown facing each other.
.\data\Client6\clips\common_voice_en_42699933.mp3,"Finnian's sister, Saint Regnach, was Abbess of Kilreynagh, near the present town of Banagher."
.\data\Client6\clips\common_voice_en_42700013.mp3,The fear of Russia finally resulted in a German occupation of the islands.
.\data\Client6\clips\common_voice_en_42700014.mp3,Samyukt Kisan Morcha would now like to clarify strongly.
.\data\Client6\clips\common_voice_en_42700030.mp3,"Bernardo Gui also figures in the novel, as do Dolcino's papers."
.\data\Client6\clips\common_voice_en_42700077.mp3,"First, criticism has been made of the use of ""celebrity"" panelists."
.\data\Client6\clips\common_voice_en_42700078.mp3,It saw the election of Scott Smith.
.\data\Client6\clips\common_voice_en_42700079.mp3,Her family was very affluent and influential.
.\data\Client6\clips\common_voice_en_42700080.mp3,He was educated at Alma College and Bowling Green State University.
.\data\Client6\clips\common_voice_en_42700081.mp3,"However, a community uproar led to the scrapping of the plans."
.\data\Client6\clips\common_voice_en_42700087.mp3,He died in Brandon and was buried in Boissevain.
.\data\Client6\clips\common_voice_en_42700088.mp3,Another important theory of aggression in world science is the frustration-aggression theory.
.\data\Client6\clips\common_voice_en_42700089.mp3,"Nabokov claimed that Garnett's translations were dry and flat, and always unbearably demure."
.\data\Client6\clips\common_voice_en_42700090.mp3,The Western Australian towns of Broome and Broomehill are named after him.
.\data\Client6\clips\common_voice_en_42700091.mp3,Brasillach wrote both fiction and non-fiction.
.\data\Client6\clips\common_voice_en_42700096.mp3,The men both improved upon their scores and ranks from four years before.
.\data\Client6\clips\common_voice_en_42700097.mp3,Bevan was known for his heavy powerhouse drumming during this tour.
.\data\Client6\clips\common_voice_en_42700098.mp3,Aschaffenburg is also home to the Aschaffenburg Mohawks Baseball and Softball team.
.\data\Client6\clips\common_voice_en_42700099.mp3,The unusually long crankshaft was supported by nine main bearings to prevent torsional vibration.
.\data\Client6\clips\common_voice_en_42700100.mp3,The tower dates from ca.
.\data\Client6\clips\common_voice_en_42700101.mp3,Alberta has always been an export-oriented economy.
.\data\Client6\clips\common_voice_en_42700102.mp3,The dry climate of Pike National Forest makes it prime wildfire territory.
.\data\Client6\clips\common_voice_en_42700103.mp3,"Seeds, flour, and teas are generally safe when consumed in normal amounts."
.\data\Client6\clips\common_voice_en_42700104.mp3,"The name of the company was """"Ing."
.\data\Client6\clips\common_voice_en_42700105.mp3,You will be visited by all sorts of bad luck during the year.
