filename,text
./data/Client4\sample-003000.mp3,your appointment has been changed
./data/Client4\sample-003001.mp3,sam's crazy about mick
./data/Client4\sample-003002.mp3,i heard a faint movement under my feet
./data/Client4\sample-003003.mp3,as the astronaut walked into the translucent pod it transformed into an opaque material
./data/Client4\sample-003004.mp3,because you are trying to realize your destiny
./data/Client4\sample-003005.mp3,how long is it
./data/Client4\sample-003006.mp3,she'll see us through dinner
./data/Client4\sample-003007.mp3,camels are traitorous they walk thousands of paces and never seem to tire
./data/Client4\sample-003008.mp3,the boy remembered an old proverb from his country
./data/Client4\sample-003009.mp3,i swear it on my mother's grave
./data/Client4\sample-003010.mp3,how'd you get in here
./data/Client4\sample-003011.mp3,so they think she left it with you
./data/Client4\sample-003012.mp3,that hole in the wall was too small for him to fit through
./data/Client4\sample-003013.mp3,nice to meet you
./data/Client4\sample-003014.mp3,wear the blue one
./data/Client4\sample-003015.mp3,the englishman was unable to sleep one night
./data/Client4\sample-003016.mp3,i don't think it's very ethical reading other people's stuff
./data/Client4\sample-003017.mp3,henderson stood up with a spade in his hand
./data/Client4\sample-003018.mp3,i don't know how to explain it
./data/Client4\sample-003019.mp3,toronto is a few miles away
./data/Client4\sample-003020.mp3,when the lead had become liquid the alchemist took from his pouch the strange yellow egg
./data/Client4\sample-003021.mp3,i have to separate out the sulfur
./data/Client4\sample-003022.mp3,the octopus worried the squid
./data/Client4\sample-003023.mp3,did you want to see her about something important
./data/Client4\sample-003024.mp3,he looked like an arab which was not unusual in those parts
./data/Client4\sample-003025.mp3,'everyone loved them and enjoyed them
./data/Client4\sample-003026.mp3,i don't know why you boys are so good to me
./data/Client4\sample-003027.mp3,hires two personal trainers and make one of them train the other one
./data/Client4\sample-003028.mp3,we need to solve this problem fast
./data/Client4\sample-003029.mp3,if you want it you must take it
./data/Client4\sample-003030.mp3,i don't want to rush you
./data/Client4\sample-003031.mp3,that's the man who knows all the secrets of the world she said
./data/Client4\sample-003032.mp3,that's the point at which most people give up
./data/Client4\sample-003033.mp3,he decided to spend the night there
./data/Client4\sample-003034.mp3,an alchemist said the alchemist
