filename,text
./data/Client5\sample-004000.mp3,life attracts life the alchemist answered
./data/Client5\sample-004001.mp3,many people in berkshire surrey and middlesex must have seen it
./data/Client5\sample-004002.mp3,i remember how i sat on the table there in the blackness with patches of green and crimson swimming before my eyes
./data/Client5\sample-004003.mp3,almost everyone here speaks spanish
./data/Client5\sample-004004.mp3,the walls were covered with a thick paste
./data/Client5\sample-004005.mp3,the boy was trying to understand the truth of what the old man had said
./data/Client5\sample-004006.mp3,the terror was palpable
./data/Client5\sample-004007.mp3,and yet none of these people has ever met the old king
./data/Client5\sample-004008.mp3,i didn't want to marry anybody else in town
./data/Client5\sample-004009.mp3,i bet it's a going away present
./data/Client5\sample-004010.mp3,i'll work for you he said
./data/Client5\sample-004011.mp3,there were mountains in the distance
./data/Client5\sample-004012.mp3,isn't it all too wonderful
./data/Client5\sample-004013.mp3,you can get around very easily by train  which is a very relaxing and affordable way to travel
./data/Client5\sample-004014.mp3,the miner had abandoned everything to go mining for emeralds
./data/Client5\sample-004015.mp3,i noticed that the boy answered
./data/Client5\sample-004016.mp3,she doesn't know it yet
./data/Client5\sample-004017.mp3,i remember how i sat on the table there in the blackness with patches of green and crimson swimming before my eyes
./data/Client5\sample-004018.mp3,how did you learn to read the girl asked at one point
./data/Client5\sample-004019.mp3,he noticed the unequal cooling of its surface
./data/Client5\sample-004020.mp3,the clever men could be ignored
./data/Client5\sample-004021.mp3,then he dropped his spade picked up his jacket and came out into the road
./data/Client5\sample-004022.mp3,before this i always looked to the desert with longing said fatima
./data/Client5\sample-004023.mp3,who says i can't
./data/Client5\sample-004024.mp3,i don't know how to turn them into reality
./data/Client5\sample-004025.mp3,all that time the martians must have been getting ready
./data/Client5\sample-004026.mp3,c'mon over and join our party
./data/Client5\sample-004027.mp3,so his heart was quiet for an entire afternoon
./data/Client5\sample-004028.mp3,i saw astonishment and horror on the faces of the people around me
./data/Client5\sample-004029.mp3,he told her about the morning's meeting
./data/Client5\sample-004030.mp3,my brother just got the congressional medal of honor
./data/Client5\sample-004031.mp3,if you know your heart well it will never be able to do that to you
./data/Client5\sample-004032.mp3,because you have already lost your savings twice
./data/Client5\sample-004033.mp3,this isn't for me to decide
./data/Client5\sample-004034.mp3,too bad i couldn't see this guy first
./data/Client5\sample-004035.mp3,because the crystal was dirty
