filename,text
.\data\Client10\clips\common_voice_en_42784376.mp3,"McManus was born in North Melbourne, into a working-class family of Irish Catholic background."
.\data\Client10\clips\common_voice_en_42784377.mp3,It was named after Doctor John Love of the Glasgow Missionary Society.
.\data\Client10\clips\common_voice_en_42784378.mp3,Each player is dealt seven cards.
.\data\Client10\clips\common_voice_en_42784387.mp3,"All songs written, arranged, and produced by David Axelrod."
.\data\Client10\clips\common_voice_en_42784389.mp3,Another of the strong areas of specialty was sailing equipment.
.\data\Client10\clips\common_voice_en_42784391.mp3,"Rosemary married Louis Adlon who was an American, German-born motion picture actor."
.\data\Client10\clips\common_voice_en_42784392.mp3,"Divine providence relative to man is 'foresight', and relative to the Lord is 'providence'."
.\data\Client10\clips\common_voice_en_42784393.mp3,The valley blooms in spring.
.\data\Client10\clips\common_voice_en_42784419.mp3,"The report, ""Whom We Shall Welcome"", served as the blueprint for the Hart-Celler Act."
.\data\Client10\clips\common_voice_en_42784420.mp3,The historical route leading in the direction of Wieniawa was reconstructed.
.\data\Client10\clips\common_voice_en_42784421.mp3,Hidden windows can be recovered via a menu from the root window.
.\data\Client10\clips\common_voice_en_42784422.mp3,Former Astoria resident Byron Roman was also involved in early cable invention and distribution.
.\data\Client10\clips\common_voice_en_42784423.mp3,There is a video on YouTube which describes the recipe for making the same.
.\data\Client10\clips\common_voice_en_42784430.mp3,The entire route is in Mississippi.
.\data\Client10\clips\common_voice_en_42784436.mp3,Flowering has been observed in May.
.\data\Client10\clips\common_voice_en_42784437.mp3,During his tenure he was the highest office holder in the Vermont Democratic Party.
.\data\Client10\clips\common_voice_en_42784511.mp3,There have been two bridges on this site.
.\data\Client10\clips\common_voice_en_42784512.mp3,"She made television debut with the serial ""Power Rangers""."
.\data\Client10\clips\common_voice_en_42784513.mp3,Rukavina finished fifteenth out of eighteen players in total.
.\data\Client10\clips\common_voice_en_42784514.mp3,Critics noted Galeon's tricky plugin installation.
.\data\Client10\clips\common_voice_en_42784515.mp3,"Though short-lived, the United Belgian States had long-lasting repercussions."
.\data\Client10\clips\common_voice_en_42784516.mp3,Artificial intelligence allows computers to perform tasks that normally require human intelligence.
.\data\Client10\clips\common_voice_en_42784517.mp3,What about Auschwitz?
.\data\Client10\clips\common_voice_en_42784518.mp3,The two side bays have Corinthian pilasters with moulded plinths.
.\data\Client10\clips\common_voice_en_42784519.mp3,The group's first chairman was Phil Crane of Illinois.
.\data\Client10\clips\common_voice_en_42784520.mp3,It is northwest of Eastbourne and south of Wilmington.
.\data\Client10\clips\common_voice_en_42784521.mp3,It is not widely accepted.
.\data\Client10\clips\common_voice_en_42784541.mp3,The exact cause of the crash was never determined beyond reasonable doubt.
.\data\Client10\clips\common_voice_en_42784543.mp3,"Graham, Philip and Timothy Staines were burnt alive."
